course_id,title,skill_tag,level,duration_hours,platform,link
BE_01_01,MDN: Server-side website programming,Internet Fundamentals,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Server-side
BE_01_02,Full Stack Open,Internet Fundamentals,Easy,6,University of Helsinki,https://fullstackopen.com/en/
BE_01_03,roadmap.sh Backend,Internet Fundamentals,Medium,10,roadmap.sh,https://roadmap.sh/backend
BE_01_04,freeCodeCamp: Back End Development,Internet Fundamentals,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/
BE_02_01,MDN: Server-side website programming,Introduction to Backend Development,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Server-side
BE_02_02,Full Stack Open,Introduction to Backend Development,Easy,6,University of Helsinki,https://fullstackopen.com/en/
BE_02_03,roadmap.sh Backend,Introduction to Backend Development,Medium,10,roadmap.sh,https://roadmap.sh/backend
BE_02_04,freeCodeCamp: Back End Development,Introduction to Backend Development,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/
BE_03_01,MDN: Structuring content with HTML,HTML Fundamentals,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Structuring_content
BE_03_02,MDN: Introduction to HTML,HTML Fundamentals,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Structuring_content
BE_03_03,freeCodeCamp: Responsive Web Design,HTML Fundamentals,Medium,10,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/
BE_03_04,web.dev: Learn HTML,HTML Fundamentals,High,15,web.dev,https://web.dev/learn/html/
BE_04_01,MDN: CSS styling basics,CSS Fundamentals,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Styling_basics
BE_04_02,MDN: CSS layout,CSS Fundamentals,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/CSS_layout
BE_04_03,web.dev: Learn CSS,CSS Fundamentals,Medium,10,web.dev,https://web.dev/learn/css/
BE_04_04,freeCodeCamp: Responsive Web Design,CSS Fundamentals,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/
BE_05_01,MDN: JavaScript Guide,JavaScript Foundations,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide
BE_05_02,MDN: Dynamic scripting with JavaScript,JavaScript Foundations,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Scripting
BE_05_03,javascript.info,JavaScript Foundations,Medium,10,javascript.info,https://javascript.info/
BE_05_04,freeCodeCamp: JavaScript Algorithms and Data Structures,JavaScript Foundations,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/
BE_06_01,MDN: Server-side website programming,Frontend Basics,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Server-side
BE_06_02,Full Stack Open,Frontend Basics,Easy,6,University of Helsinki,https://fullstackopen.com/en/
BE_06_03,roadmap.sh Backend,Frontend Basics,Medium,10,roadmap.sh,https://roadmap.sh/backend
BE_06_04,freeCodeCamp: Back End Development,Frontend Basics,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/
BE_07_01,Node.js Learn,Node.js Basics,Beginner,3,Node.js,https://nodejs.org/en/learn
BE_07_02,Node.js Introduction,Node.js Basics,Easy,6,Node.js,https://nodejs.org/en/learn/getting-started/introduction-to-nodejs
BE_07_03,Full Stack Open Part 3,Node.js Basics,Medium,10,University of Helsinki,https://fullstackopen.com/en/part3
BE_07_04,freeCodeCamp: Back End Development and APIs,Node.js Basics,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/back-end-development-and-apis/
BE_08_01,Express: Installing,Express.js (Web Framework),Beginner,3,Express,https://expressjs.com/en/starter/installing.html
BE_08_02,Express: Hello World,Express.js (Web Framework),Easy,6,Express,https://expressjs.com/en/starter/hello-world.html
BE_08_03,Express: Routing,Express.js (Web Framework),Medium,10,Express,https://expressjs.com/en/guide/routing.html
BE_08_04,MDN: Express/Node tutorial,Express.js (Web Framework),High,15,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Server-side/Express_Nodejs
BE_09_01,MDN: HTTP overview,REST APIs in Node,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview
BE_09_02,MDN: Fetch API,REST APIs in Node,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API
BE_09_03,REST API Tutorial,REST APIs in Node,Medium,10,RESTful API,https://restfulapi.net/
BE_09_04,Postman: Learning Center,REST APIs in Node,High,15,Postman,https://learning.postman.com/docs/getting-started/introduction/
BE_10_01,MDN: Testing,Testing (Node.js),Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Testing
BE_10_02,Jest Getting Started,Testing (Node.js),Easy,6,Jest,https://jestjs.io/docs/getting-started
BE_10_03,Vitest Guide,Testing (Node.js),Medium,10,Vitest,https://vitest.dev/guide/
BE_10_04,Playwright Introduction,Testing (Node.js),High,15,Playwright,https://playwright.dev/docs/intro
BE_11_01,Python Tutorial,Python Basics,Beginner,3,Python.org,https://docs.python.org/3/tutorial/
BE_11_02,Python Beginner's Guide,Python Basics,Easy,6,Python.org,https://wiki.python.org/moin/BeginnersGuide
BE_11_03,Real Python Tutorials,Python Basics,Medium,10,Real Python,https://realpython.com/
BE_11_04,freeCodeCamp: Scientific Computing with Python,Python Basics,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/scientific-computing-with-python/
BE_12_01,Django Tutorial,Django or Flask (Web Framework),Beginner,3,Django,https://docs.djangoproject.com/en/stable/intro/tutorial01/
BE_12_02,MDN: Django tutorial,Django or Flask (Web Framework),Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Server-side/Django
BE_12_03,Django Girls Tutorial,Django or Flask (Web Framework),Medium,10,Django Girls,https://tutorial.djangogirls.org/en/
BE_12_04,Django Documentation,Django or Flask (Web Framework),High,15,Django,https://docs.djangoproject.com/en/stable/
BE_13_01,MDN: HTTP overview,REST APIs in Python,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview
BE_13_02,MDN: Fetch API,REST APIs in Python,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API
BE_13_03,REST API Tutorial,REST APIs in Python,Medium,10,RESTful API,https://restfulapi.net/
BE_13_04,Postman: Learning Center,REST APIs in Python,High,15,Postman,https://learning.postman.com/docs/getting-started/introduction/
BE_14_01,MDN: Testing,Testing (Python),Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Extensions/Testing
BE_14_02,Jest Getting Started,Testing (Python),Easy,6,Jest,https://jestjs.io/docs/getting-started
BE_14_03,Vitest Guide,Testing (Python),Medium,10,Vitest,https://vitest.dev/guide/
BE_14_04,Playwright Introduction,Testing (Python),High,15,Playwright,https://playwright.dev/docs/intro
BE_15_01,SQLBolt,Databases (SQL),Beginner,3,SQLBolt,https://sqlbolt.com/
BE_15_02,PostgreSQL Tutorial,Databases (SQL),Easy,6,PostgreSQL,https://www.postgresql.org/docs/current/tutorial.html
BE_15_03,SQLZoo,Databases (SQL),Medium,10,SQLZoo,https://sqlzoo.net/wiki/SQL_Tutorial
BE_15_04,W3Schools SQL Tutorial,Databases (SQL),High,15,W3Schools,https://www.w3schools.com/sql/
BE_16_01,MongoDB University,NoSQL Databases,Beginner,3,MongoDB,https://learn.mongodb.com/
BE_16_02,MongoDB Manual,NoSQL Databases,Easy,6,MongoDB,https://www.mongodb.com/docs/manual/
BE_16_03,Redis University,NoSQL Databases,Medium,10,Redis,https://university.redis.io/
BE_16_04,Firebase Firestore Documentation,NoSQL Databases,High,15,Firebase,https://firebase.google.com/docs/firestore
