course_id,title,skill_tag,level,duration_hours,platform,link
JS_01_01,MDN: JavaScript Guide,JS Basics/Syntax,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide
JS_01_02,javascript.info,JS Basics/Syntax,Easy,6,javascript.info,https://javascript.info/
JS_01_03,W3Schools: JavaScript Tutorial,JS Basics/Syntax,Medium,10,W3Schools,https://www.w3schools.com/js/
JS_01_04,freeCodeCamp: JavaScript Algorithms and Data Structures,JS Basics/Syntax,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/
JS_02_01,MDN: Data Structures,Variables & Data Types,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Data_structures
JS_02_02,javascript.info: Variables,Variables & Data Types,Easy,6,javascript.info,https://javascript.info/variables
JS_02_03,W3Schools: JS Variables,Variables & Data Types,Medium,10,W3Schools,https://www.w3schools.com/js/js_variables.asp
JS_02_04,GeeksforGeeks: JavaScript Data Types,Variables & Data Types,High,15,GeeksforGeeks,https://www.geeksforgeeks.org/javascript-data-types/
JS_03_01,MDN: Functions,Functions & Scope,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Functions
JS_03_02,javascript.info: Function Basics,Functions & Scope,Easy,6,javascript.info,https://javascript.info/function-basics
JS_03_03,W3Schools: JS Functions,Functions & Scope,Medium,10,W3Schools,https://www.w3schools.com/js/js_functions.asp
JS_03_04,GeeksforGeeks: JavaScript Scope,Functions & Scope,High,15,GeeksforGeeks,https://www.geeksforgeeks.org/javascript-scope/
JS_04_01,MDN: Indexed Collections,Arrays & Objects,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Indexed_collections
JS_04_02,MDN: Working with Objects,Arrays & Objects,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Working_with_objects
JS_04_03,javascript.info: Array,Arrays & Objects,Medium,10,javascript.info,https://javascript.info/array
JS_04_04,W3Schools: JS Objects,Arrays & Objects,High,15,W3Schools,https://www.w3schools.com/js/js_objects.asp
JS_05_01,MDN: Document Object Model,DOM Manipulation,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model
JS_05_02,javascript.info: Document,DOM Manipulation,Easy,6,javascript.info,https://javascript.info/document
JS_05_03,W3Schools: JS HTML DOM,DOM Manipulation,Medium,10,W3Schools,https://www.w3schools.com/js/js_htmldom.asp
