course_id,title,skill_tag,level,duration_hours,platform,link
FE_01_01,MDN: How the web works,Internet Basics,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Howto/Web_mechanics
FE_01_02,MDN: Getting started with the Web,Internet Basics,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Getting_started/Your_first_website
FE_01_03,web.dev: Learn Performance,Internet Basics,Medium,10,web.dev,https://web.dev/learn/performance/
FE_01_04,freeCodeCamp: Responsive Web Design,Internet Basics,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/
FE_02_01,MDN: Structuring content with HTML,HTML,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Structuring_content
FE_02_02,MDN: Introduction to HTML,HTML,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Structuring_content
FE_02_03,freeCodeCamp: Responsive Web Design,HTML,Medium,10,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/
FE_02_04,web.dev: Learn HTML,HTML,High,15,web.dev,https://web.dev/learn/html/
FE_03_01,MDN: CSS styling basics,CSS,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Styling_basics
FE_03_02,MDN: CSS layout,CSS,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/CSS_layout
FE_03_03,web.dev: Learn CSS,CSS,Medium,10,web.dev,https://web.dev/learn/css/
FE_03_04,freeCodeCamp: Responsive Web Design,CSS,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/2022/responsive-web-design/
FE_04_01,MDN: JavaScript Guide,JavaScript,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide
FE_04_02,MDN: Dynamic scripting with JavaScript,JavaScript,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Core/Scripting
FE_04_03,javascript.info,JavaScript,Medium,10,javascript.info,https://javascript.info/
FE_04_04,freeCodeCamp: JavaScript Algorithms and Data Structures,JavaScript,High,15,freeCodeCamp,https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/
FE_05_01,MDN: Command line crash course,CLI & Terminal Basics,Beginner,3,MDN,https://developer.mozilla.org/en-US/docs/Learn_web_development/Getting_started/Environment_setup/Command_line
FE_05_02,GitHub Docs: About Git,CLI & Terminal Basics,Easy,6,GitHub,https://docs.github.com/en/get-started/learning-about-github/about-github
FE_05_03,The Missing Semester: Shell,CLI & Terminal Basics,Medium,10,MIT,https://missing.csail.mit.edu/2020/course-shell/
FE_05_04,freeCodeCamp: Command Line Basics,CLI & Terminal Basics,High,15,freeCodeCamp,https://www.freecodecamp.org/news/command-line-for-beginners/
FE_06_01,Pro Git Book,Version Control (Git & GitHub),Beginner,3,Git,https://git-scm.com/book/en/v2
FE_06_02,GitHub Skills: Introduction to GitHub,Version Control (Git & GitHub),Easy,6,GitHub,https://skills.github.com/
FE_06_03,GitHub Docs: Git guides,Version Control (Git & GitHub),Medium,10,GitHub,https://docs.github.com/en/get-started/git-basics
FE_06_04,Atlassian Git tutorials,Version Control (Git & GitHub),High,15,Atlassian,https://www.atlassian.com/git/tutorials
FE_07_01,Pro Git Book,VCS Hosting,Beginner,3,Git,https://git-scm.com/book/en/v2
FE_07_02,GitHub Skills: Introduction to GitHub,VCS Hosting,Easy,6,GitHub,https://skills.github.com/
FE_07_03,GitHub Docs: Git guides,VCS Hosting,Medium,10,GitHub,https://docs.github.com/en/get-started/git-basics
FE_07_04,Atlassian Git tutorials,VCS Hosting,High,15,Atlassian,https://www.atlassian.com/git/tutorials
FE_08_01,npm: About npm,Package Managers,Beginner,3,npm,https://docs.npmjs.com/about-npm
FE_08_02,npm: Getting started,Package Managers,Easy,6,npm,https://docs.npmjs.com/getting-started
FE_08_03,pnpm: Motivation,Package Managers,Medium,10,pnpm,https://pnpm.io/motivation
FE_08_04,Yarn: Getting Started,Package Managers,High,15,Yarn,https://yarnpkg.com/getting-started
FE_09_01,Bootstrap Documentation,CSS Frameworks,Beginner,3,Bootstrap,https://getbootstrap.com/docs/5.3/getting-started/introduction/
FE_09_02,Tailwind CSS Installation,CSS Frameworks,Easy,6,Tailwind CSS,https://tailwindcss.com/docs/installation
FE_09_03,Material UI Introduction,CSS Frameworks,Medium,10,MUI,https://mui.com/material-ui/getting-started/
FE_09_04,Bulma Documentation,CSS Frameworks,High,15,Bulma,https://bulma.io/documentation/
FE_10_01,React Learn,JavaScript Frameworks,Beginner,3,React,https://react.dev/learn
FE_10_02,Vue Guide,JavaScript Frameworks,Easy,6,Vue.js,https://vuejs.org/guide/introduction.html
FE_10_03,Angular Tutorial,JavaScript Frameworks,Medium,10,Angular,https://angular.dev/tutorials/learn-angular
FE_10_04,Svelte Tutorial,JavaScript Frameworks,High,15,Svelte,https://svelte.dev/tutorial/svelte/welcome-to-svelte
FE_11_01,GitHub Copilot documentation,AI-Assisted Coding,Beginner,3,GitHub,https://docs.github.com/en/copilot
FE_11_02,MDN: AI on the Web,AI-Assisted Coding,Easy,6,MDN,https://developer.mozilla.org/en-US/docs/Web/AI
FE_11_03,Google: AI for Developers,AI-Assisted Coding,Medium,10,Google,https://ai.google.dev/
FE_11_04,Microsoft Learn: Generative AI,AI-Assisted Coding,High,15,Microsoft,https://learn.microsoft.com/en-us/training/generative-ai/
